effect,nExp,nCtrl,experiential,behavioral,physiological,study
r4,17,,1.40,,,1
r4,10,,1.24,,,2
r4,10,,1.83,,,2
r4,33,30,-0.05,,,3
r4,33,30,0.09,,,3
r4,15,,1.49,,,4
r3,39,42,0.74,,0.66,5
r3,88,100,0.44,,,6
r3,10,,1.83,,,7
r3,26,,0.15,,,8
r3,37,,0.45,,,9
r3,36,,0.56,,,9
r3,24,,-0.3,,,10
r3,17,,1.24,,0.6,11
r3,40,40,0.51,0.88,0.17,12
r3,25,25,,,0.28,13
r3,16,,1.74,,,14
r3,48,48,0.46,,,15
r3,48,45,-0.15,,,15
r3,20,,1.83,,,16
r3,14,,0.79,,,16
r3,30,26,0.16,,0.30,17
r3,30,25,0.16,,-0.30,17
r3,41,40,0.14,,0.06,18
r3,30,30,0.04,,,19
r3,43,34,0.75,,,20
r3,55,61,0.64,,-0.08,21
r3,22,41,0.63,0.55,,22
r3,48,24,0.24,0.19,0.12,23
r3,12,,1.43,,,24
r3,30,30,0.04,,,25
r3,43,34,0.75,,,26
r3,55,61,0.64,,-0.08,26
r3,22,41,0.63,0.55,,27
r3,48,24,0.24,0.19,0.12,28
r3,35,36,0.48,0.71,,29
r3,30,30,1.33,,,30
r3,40,20,1.75,,,30
r3,23,22,0,,,31
r3,15,14,1.08,,-0.63,32
r3,68,,0.39,0.27,,33
r3,20,20,1.64,,-0.2,34
r3,17,16,-0.15,0.60,,35
r3,13,13,,,-0.47,36
r3,16,16,,,-0.37,36
r3,49,,0.67,,,37
r3,28,,0.83,,,38
r2,14,,1.83,,,39
r2,31,30,0.21,,,40
r2,12,12,0.21,1.02,-0.16,41
r2,33,131,0.51,1.53,0,42
r2,26,26,0.11,,,43
r2,26,,,,0.09,44
r2,16,,1.83,0.79,0.27,45
r2,27,,1.15,,,46
r2,14,,0.21,,,47
r2,68,67,0.47,,0.33,48
r2,34,36,-0.2,,,49
r2,33,36,-0.08,,,50
r2,31,34,1.12,,,51
r2,18,,1.33,,,52
r2,25,,1.44,,,52
r2,12,,0.22,,,53
r2,30,15,0.40,,,54
r2,60,60,0.16,,,55
r2,27,31,0.03,-0.04,,56
r2,20,20,0,,,57
r2,76,,0.09,0.07,,58
r2,41,,0.34,,-0.01,59
r2,54,,0.29,,0.10,60
r2,26,,,,0.47,61
r2,51,42,0.24,,,62
r2,28,28,0.24,0.12,,63
r1,61,61,0.29,,,64
r1,61,55,0.92,,,64
r1,37,,-0.47,,,65
r1,60,60,0.20,,,66
r1,30,30,-0.09,,-0.02,67
r1,15,15,0.67,0.32,,68
r1,20,16,0,,,69
r1,24,24,-0.03,,-0.63,70
r1,40,40,-0.43,,-0.11,71
r1,61,59,0.16,,,72
r1,19,19,0.40,,,73
r1,21,21,,,0.15,74
r1,24,,0.40,,,75
r1,24,,1.27,,,75
r1,20,20,-0.43,,-0.45,76
r1,20,20,0.26,,0.06,76
r1,48,47,0.56,,-0.01,77
r1,25,26,0.25,,0.56,78
r1,20,,-0.38,,,79
r1,20,,-0.2,,,79
r1,21,24,0.66,,0.09,80
r1,36,33,0.31,,,81
r1,33,28,1.83,,0.18,82
r1,15,17,0.33,,,83
r1,140,162,0.20,,,84
r1,26,61,0.16,,-0.14,85
r1,26,21,-0.13,,0.09,85
r1,19,10,0.69,,,86
r1,47,41,0.50,,,87
r1,63,63,0.13,,,88